image,color,neckline,sleeve,pattern,fabric,fit,title,bullet_points,description,style_summary,seo_tags
data (1).jpg,black,v-neck,sleeveless,solid,silk,slim,Slim Silk V-Neck Sleeveless Top,V-neck style; Silky fabric feel,"A sleek black v-neck, silk top with a slim fit and no sleeves.",Slim fitting V-neck in luxurious silk material without sleeves,black women's tops; silky fabric v-necks
data (10).jpg,white,v-neck,long sleeve,solid,cotton,slim,White V-Neck Long Sleeve Cotton Top,"V Neckline, White Color",A comfortable slim fit long sleeve white cotton top with a v neck.,Slim-fit V-necked women's tops in solid color,"women,top,cotton,v-neck"
data (100).jpg,black,round neck,short sleeve,printed,denim,slim,Black Denim Round Neck Slim Fit Short Sleeve Top,Round neckline style; Short sleeves design; Denim fabric material,A stylish black denim top with a round neck and short sleeves for slim fit fashion.,"Slim-fit, printed women's tops in black.",women; top; denim
data (101).jpg,blue,collared,long sleeve,solid,denim,slim,Blue Denim Collared Long Sleeve Top,Color: Blue; Neckline: Collared; Sleeve Length: Long,A stylish blue denim top with a collar and long sleeves.,"Blue, slim-fit men's casual shirt in solid pattern.",blue; denim; long sleeve
data (102).jpg,pink,collared,long sleeve,solid,polyester,slim,Pink Collared Long Sleeve Women's Top,Color: Pink; Neckline: Collared; Sleeve Length: Long,A stylish pink long sleeve top with a collar for women.,"Elegant solid-colored, slim fit men's shirt in polyester fabric",women's clothing; pink tops; long sleeves
data (103).jpg,blue,collared,long sleeve,solid,cotton,regular,Blue Cotton Collared Long Sleeve Women's Top,"Solid blue pattern; Long sleeves, collar style",A comfortable long-sleeved top with a solid color and classic neckline.,Classic cotton women's tops in solids for casual wear.,women; top; cotton
data (104).jpg,green,round neck,short sleeve,striped,silk,slim,Green Silk Slim Round Neck Striped Short Sleeve Top,Round neckline style; Short sleeves design; Stripe pattern fabrication,"A stylish green silk top with a slim fit, round neck and short sleeves in striped patterns.",Slim-fit women's tops featuring stripes,women's clothing; silk fabric; striped pattern
data (105).jpg,pink,round neck,short sleeve,striped,silk,slim,Pink Silk Slim Round Neck Striped Short Sleeve Top,"Round neckline, striped pattern",A stylish silky top with a slim fit and short sleeves in pink.,Slim-fit round neck stripe design for women's tops,"women's clothing, striped pattern, silk fabric"
data (106).jpg,black,round neck,long sleeve,solid,polyester,slim,Slim Fit Black Round Neck Long Sleeve Top,"Black color, round neckline",A sleek black top with a slim fit and long sleeves for versatile style.,Slim-fit women's polyester tops,"women's clothing, round neckline, solid color"
data (107).jpg,pink,round neck,sleeveless,solid,silk,slim,Slim Silk Pink Round Neck Sleeveless Top,Color: pink; Neckline: round neck; Fit: slim,A chic silk top with a flattering fit and elegant design.,"Slim, solid-colored women's sleeveless shirt in pink.",silk; women's clothing; pink
data (108).jpg,black,round neck,sleeveless,solid,silk,slim,Slim Silk Black Round Neck Sleeveless Top,Round neckline style; Fits slim figures well,"A sleek black top with a round silhouette and smooth fabric, perfect for women seeking an elegant yet comfortable fit.",Elegant solid-colored slip dress in slim cut,women's clothing; silk tops; black fashion
data (109).jpg,blue,v-neck,sleeveless,solid,silk,slim,Blue Silk Slim V-Neck Sleeveless Top,V-neck style; Sleveeless design; Silky fabric,A chic blue silk top with a slim fit and sleeveless v-neck.,"Elegant women's V-neck, sleeveless silk blouse for style",women's clothing; silk top; v neck
data (11).jpg,red,round neck,long sleeve,solid,cotton,slim,Slim Fit Red Round Neck Long Sleeve Cotton Top,Round neckline style; Long sleeves for comfort and elegance; Solid red color scheme,"A stylish, slim-fit round neck long sleeve top in solid red cotton fabric.",Slim fit with a comfortable design ideal for casual wear or dressing up,women's clothing; cotton tops; slim fit
data (110).jpg,green,round neck,short sleeve,striped,cotton,slim,Green Cotton Slim Round Neck Striped Short Sleeve Top,Round neckline style; Short sleeves design; Stripe pattern fabrication,A stylish green striped top with a slim fit and short sleeves for versatile wear.,"Slim-fit round neck, cotton stripes.",green; cotton tops; round necks
data (111).jpg,white,round neck,short sleeve,striped,cotton,slim,White Round Neck Slim Cotton Striped Short Sleeve Top,Round neckline style; Short sleeves design; Stripe pattern fabric,"A stylish white top with a round neck, short sleeves and striped cotton material.",Slim-fit women's stripe dress in soft cotton for casual wear,white tops; striped shirts; cotton clothing
data (112).jpg,pink,round neck,short sleeve,printed,cotton,slim,Pink Printed Cotton Slim Round Neck Short Sleeve Top,Color: Pink; Neckline: Round neck; Sleeve length: Short sleeve; Pattern type: Printed,"A stylish pink top with a round neck and short sleeves, featuring an elegant printed design in cotton fabric.",Elegant slim-fit women's printable rounded necktop,women's tops; cotton clothing; printed fashion
data (113).jpg,black,round neck,short sleeve,printed,denim,loose,Black Denim Round Neck Short Sleeve Printed Top,Color: Black; Neckline: Round neck; Sleeve length: Short sleeve,"A stylish black denim top with a round neck and short sleeves, featuring an elegant printed pattern.",Denim print women's loose-fit tops,denim dresses for women; printed fashion accessories
data (114).jpg,white,round neck,long sleeve,printed,denim,slim,White Denim Round Neck Long Sleeve Top,Round neckline style; Long sleeves for comfort and warmth; Printed denim fabric design,"A stylish white long-sleeved top with a round neck, printed on durable denim.",Denim print slim fit women's tops for casual wear,white shirt; denim dresses; slim fitting
data (115).jpg,white,v-neck,short sleeve,solid,cotton,slim,White V Neck Slim Fit Cotton Short Sleeve Top,V neckline style; Short sleeves design; Slim fit cut,"A chic white top with a v-neck and short sleeves, perfect for slim figures.",Elegant women's cotton tops in solid colors featuring V necklines,white shirt; v neckline; short sleeve
data (116).jpg,pink,v-neck,short sleeve,solid,cotton,slim,Pink V-Neck Slim Fit Cotton Short Sleeve Top,"V-neck, pink color; Short sleeves, cotton fabric",A stylish slim fit top with a vibrant solid pattern in soft cotton.,Slim cut V-neck short sleeve women's top for casual wear.,women; top; cotton
data (117).jpg,black,v-neck,short sleeve,solid,silk,slim,Slim Silk V-Neck Black Top,"Black color, Solid pattern; Short sleeve silhouette",A slim fit black top with a v-neck and short sleeves in solid design.,Slim fitting V-Neck Black Top for women's casual wear.,women; top; black silk
data (118).jpg,blue,v-neck,short sleeve,solid,denim,slim,Blue Denim V-Neck Slim Fit Top,"blue color, v-neck style, slim fit",A stylish blue denim top with a comfortable short sleeve and flattering v-neck design.,Denim V-Neck Slim Fit Top,"blue, women's clothing, slim fit tops"
data (119).jpg,green,v-neck,sleeveless,solid,silk,slim,Slim Silk Green V Neck Sleeveless Top,"Green color, v neckline, sleeveless design",A stylish silk top with a slim fit and green solid pattern.,Slim-fit solids for women's tops,silk dresses; green clothing; v neck sweaters
data (12).jpg,green,v-neck,long sleeve,solid,cotton,slim,Green Cotton Slim V-Neck Long Sleeve Top,"V-neck style; Long sleeves for comfort; Slim fit, flattering silhouette",A stylish green cotton top with a slim cut and long sleeves.,Elegant v-necked women's tops in solid color,"women's clothing, casual wear, eco friendly"
data (120).jpg,blue,v-neck,sleeveless,solid,silk,slim,Blue Silk Slim V-Neck Sleeveless Top,V-neck style; Sleveeless design; Silky fabric,A chic blue silk top with a slim fit and sleeveless v-neck.,"Elegant women's V-neck, sleeveless silk blouse for style",women's clothing; silk top; v neck
